Song,Artist,Mood,Energy,Vocals,Beat,Lyrics,Vibe
Selfless,The Strokes,melancholic,medium,distant,indie rock,love distance,late night city
This Must Be The Place,Talking Heads,warm,medium,quirky,funk,new love,safe place
Wonderwall,Oasis,nostalgic,medium,raw,acoustic rock,longing,singing together
The Man Who Sold The World,Nirvana,dark,low,raw,grunge,identity,alone at night
Send Me An Angel,Scorpions,dramatic,medium,powerful,rock ballad,longing,night road
Love Will Come Through,Travis,hopeful,low,soft,indie rock,healing,after hard day
